Region,HourOfDay,Mean_Arrival_GPU_Demand
RegionA,0,55.32
RegionB,0,55.25
RegionC,0,40.24
RegionD,0,188.63
RegionE,0,135.58
RegionF,0,132.07
RegionA,1,51.36
RegionB,1,59.54
RegionC,1,47.68
RegionD,1,181.92
RegionE,1,146.04
RegionF,1,140.81
RegionA,2,48.55
RegionB,2,62.43
RegionC,2,47.08
RegionD,2,186.54
RegionE,2,161.31
RegionF,2,134.21
RegionA,3,55.26
RegionB,3,57.45
RegionC,3,39.53
RegionD,3,212.85
RegionE,3,147.36
RegionF,3,140.82
RegionA,4,55.37
RegionB,4,57.45
RegionC,4,51.71
RegionD,4,196.77
RegionE,4,139.24
RegionF,4,154.01
RegionA,5,57.42
RegionB,5,43.44
RegionC,5,40.51
RegionD,5,182.68
RegionE,5,123.93
RegionF,5,134.59
RegionA,6,51.8
RegionB,6,55.69
RegionC,6,51.59
RegionD,6,204.11
RegionE,6,116.61
RegionF,6,128.61
RegionA,7,62.66
RegionB,7,50.32
RegionC,7,47.16
RegionD,7,198.02
RegionE,7,148.28
RegionF,7,125.76
RegionA,8,54.54
RegionB,8,56.98
RegionC,8,46.81
RegionD,8,173.46
RegionE,8,140.02
RegionF,8,139.21
RegionA,9,55.7
RegionB,9,60.09
RegionC,9,46.02
RegionD,9,177.55
RegionE,9,149.48
RegionF,9,139.06
RegionA,10,56.73
RegionB,10,39.25
RegionC,10,44.53
RegionD,10,196.76
RegionE,10,121.96
RegionF,10,151.12
RegionA,11,59.58
RegionB,11,46.72
RegionC,11,48.26
RegionD,11,195.34
RegionE,11,124.67
RegionF,11,140.95
RegionA,12,59.16
RegionB,12,53.62
RegionC,12,48.93
RegionD,12,189.47
RegionE,12,125.9
RegionF,12,132.93
RegionA,13,60.49
RegionB,13,56.23
RegionC,13,43.03
RegionD,13,197.22
RegionE,13,119.53
RegionF,13,125.68
RegionA,14,45.82
RegionB,14,48.42
RegionC,14,44.64
RegionD,14,168.46
RegionE,14,136.04
RegionF,14,117.8
RegionA,15,53.77
RegionB,15,50.88
RegionC,15,51.06
RegionD,15,205.1
RegionE,15,143.89
RegionF,15,127.61
RegionA,16,47.11
RegionB,16,52.87
RegionC,16,47.85
RegionD,16,192.67
RegionE,16,126.56
RegionF,16,140.67
RegionA,17,50.9
RegionB,17,42.91
RegionC,17,51.63
RegionD,17,176.35
RegionE,17,130.86
RegionF,17,141.64
RegionA,18,52.91
RegionB,18,55.29
RegionC,18,42.05
RegionD,18,165.74
RegionE,18,135.06
RegionF,18,135.41
RegionA,19,59.08
RegionB,19,54.11
RegionC,19,45.35
RegionD,19,195.17
RegionE,19,124.47
RegionF,19,108.0
RegionA,20,51.51
RegionB,20,51.84
RegionC,20,40.33
RegionD,20,194.04
RegionE,20,133.65
RegionF,20,133.83
RegionA,21,56.72
RegionB,21,62.02
RegionC,21,46.65
RegionD,21,191.04
RegionE,21,135.12
RegionF,21,149.77
RegionA,22,52.91
RegionB,22,49.18
RegionC,22,43.84
RegionD,22,184.81
RegionE,22,129.39
RegionF,22,140.28
RegionA,23,62.54
RegionB,23,46.16
RegionC,23,49.76
RegionD,23,194.97
RegionE,23,146.81
RegionF,23,138.28
