SourceRegion,TaskType,Task_Count,GPU_Demand_Total,Duration_min_Mean,ZeroRate
RegionA,AITraining,879,63070,206.20364050056884,0.6938775510204082
RegionA,BatchInference,3331,45066,205.6460522365656,0.24872448979591838
RegionA,RealTimeInference,5852,23585,204.0305878332194,0.08120748299319729
RegionB,AITraining,871,62551,203.292766934558,0.6938775510204082
RegionB,BatchInference,3312,44274,204.7421497584541,0.2457482993197279
RegionB,RealTimeInference,5017,19989,202.56806856687263,0.11267006802721088
RegionC,AITraining,815,58899,201.82576687116565,0.7087585034013606
RegionC,BatchInference,2523,34710,203.33491874752278,0.3388605442176871
RegionC,RealTimeInference,4221,17015,206.6176261549396,0.1679421768707483
RegionD,AITraining,5726,407683,204.48131330771918,0.10034013605442177
RegionD,BatchInference,3346,45291,204.80514046622832,0.2593537414965986
RegionD,RealTimeInference,488,1993,192.67418032786884,0.8116496598639455
RegionE,AITraining,4091,292000,201.92129063798583,0.17687074829931973
RegionE,BatchInference,2172,29548,204.17357274401473,0.3958333333333333
RegionE,RealTimeInference,649,2628,202.99075500770417,0.76828231292517
RegionF,AITraining,4177,296143,207.49054345223846,0.17559523809523808
RegionF,BatchInference,2033,27173,201.1219872110182,0.42304421768707484
RegionF,RealTimeInference,497,1996,205.8692152917505,0.8154761904761905
