TaskID,TaskType,ArrivalHour,GPU_Demand,EstimatedDuration_min,DelaySensitivity,SourceRegion,MaxLatency_ms,LatestFinishHour,EarliestStartHour,ExecutionMode,ExecutionRegion,StartHour,FinishHour,NetworkLatency_ms,Scheduled
56,AITraining,2394,19,240,Low,RegionE,150,2406,2394,NonPreemptive,RegionD,2394.0,2398.0,22.0,True
57,BatchInference,2390,16,180,Medium,RegionE,80,2406,2390,NonPreemptive,RegionD,2390.0,2393.0,22.0,True
165,BatchInference,2390,18,105,Medium,RegionB,80,2406,2390,NonPreemptive,RegionB,2390.0,2391.75,5.0,True
205,BatchInference,2385,6,295,Medium,RegionB,80,2406,2385,NonPreemptive,RegionD,2385.0,2389.9166666666665,60.0,True
235,RealTimeInference,2378,2,28,High,RegionE,20,2379,2378,NonPreemptive,RegionE,2378.0,2378.4666666666667,5.0,True
315,BatchInference,2392,17,87,Medium,RegionA,80,2406,2392,NonPreemptive,RegionE,2392.0,2393.45,78.0,True
403,BatchInference,2382,13,127,Medium,RegionD,80,2406,2382,NonPreemptive,RegionE,2382.0,2384.116666666667,22.0,True
583,BatchInference,2388,12,235,Medium,RegionA,80,2406,2388,NonPreemptive,RegionD,2388.0,2391.9166666666665,65.0,True
701,BatchInference,2397,21,105,Medium,RegionF,80,2406,2397,NonPreemptive,RegionF,2397.0,2398.75,5.0,True
1055,AITraining,2378,113,339,Low,RegionF,150,2406,2378,NonPreemptive,RegionD,2378.0,2383.65,25.0,True
1096,RealTimeInference,2389,1,290,High,RegionA,20,2394,2389,NonPreemptive,RegionA,2389.0,2393.8333333333335,5.0,True
1136,BatchInference,2390,12,182,Medium,RegionB,80,2406,2390,NonPreemptive,RegionD,2390.0,2393.0333333333333,60.0,True
1234,BatchInference,2385,9,334,Medium,RegionB,80,2406,2385,NonPreemptive,RegionE,2385.0,2390.5666666666666,74.0,True
1264,AITraining,2388,113,282,Low,RegionF,150,2406,2388,NonPreemptive,RegionD,2388.0,2392.7,25.0,True
1371,AITraining,2392,18,335,Low,RegionC,150,2406,2392,NonPreemptive,RegionD,2392.0,2397.5833333333335,58.0,True
1455,AITraining,2399,37,164,Low,RegionF,150,2406,2399,NonPreemptive,RegionE,2399.0,2401.733333333333,18.0,True
1540,AITraining,2377,98,292,Low,RegionF,150,2406,2377,NonPreemptive,RegionE,2377.0,2381.866666666667,18.0,True
1664,BatchInference,2383,14,131,Medium,RegionE,80,2406,2383,NonPreemptive,RegionE,2383.0,2385.1833333333334,5.0,True
1843,RealTimeInference,2394,1,49,High,RegionA,20,2395,2394,NonPreemptive,RegionB,2394.0,2394.8166666666666,12.0,True
2055,AITraining,2386,116,160,Low,RegionD,150,2406,2386,NonPreemptive,RegionF,2386.0,2388.6666666666665,25.0,True
2167,AITraining,2390,57,249,Low,RegionD,150,2406,2390,NonPreemptive,RegionE,2390.0,2394.15,22.0,True
2374,BatchInference,2387,7,39,Medium,RegionA,80,2406,2387,NonPreemptive,RegionD,2387.0,2387.65,65.0,True
2412,RealTimeInference,2392,2,256,High,RegionC,20,2397,2392,NonPreemptive,RegionA,2392.0,2396.266666666667,15.0,True
2473,AITraining,2398,16,350,Low,RegionC,150,2406,2398,NonPreemptive,RegionD,2398.0,2403.8333333333335,58.0,True
2508,RealTimeInference,2378,1,279,High,RegionB,20,2383,2378,NonPreemptive,RegionC,2378.0,2382.65,14.0,True
2517,AITraining,2392,30,164,Low,RegionF,150,2406,2392,NonPreemptive,RegionE,2392.0,2394.733333333333,18.0,True
2648,BatchInference,2397,19,191,Medium,RegionE,80,2406,2397,NonPreemptive,RegionD,2397.0,2400.1833333333334,22.0,True
2763,BatchInference,2379,15,225,Medium,RegionB,80,2406,2379,NonPreemptive,RegionE,2379.0,2382.75,74.0,True
3113,BatchInference,2387,15,374,Medium,RegionD,80,2406,2387,NonPreemptive,RegionE,2387.0,2393.233333333333,22.0,True
3444,RealTimeInference,2378,7,103,High,RegionA,20,2380,2378,NonPreemptive,RegionC,2378.0,2379.7166666666667,15.0,True
3455,RealTimeInference,2386,1,172,High,RegionC,20,2389,2386,NonPreemptive,RegionB,2386.0,2388.866666666667,14.0,True
3498,RealTimeInference,2376,2,71,High,RegionB,20,2378,2376,NonPreemptive,RegionB,2376.0,2377.1833333333334,5.0,True
3566,BatchInference,2392,9,54,Medium,RegionE,80,2406,2392,NonPreemptive,RegionB,2392.0,2392.9,74.0,True
3736,BatchInference,2396,19,396,Medium,RegionD,80,2406,2396,NonPreemptive,RegionD,2396.0,2402.6,5.0,True
3782,AITraining,2390,89,346,Low,RegionE,150,2406,2390,NonPreemptive,RegionE,2390.0,2395.766666666667,5.0,True
3809,AITraining,2376,32,98,Low,RegionF,150,2406,2376,NonPreemptive,RegionF,2376.0,2377.633333333333,5.0,True
3928,BatchInference,2397,4,182,Medium,RegionF,80,2406,2397,NonPreemptive,RegionF,2397.0,2400.0333333333333,5.0,True
3948,RealTimeInference,2382,1,330,High,RegionF,20,2388,2382,NonPreemptive,RegionF,2382.0,2387.5,5.0,True
4060,BatchInference,2383,8,168,Medium,RegionA,80,2406,2383,NonPreemptive,RegionD,2383.0,2385.8,65.0,True
4113,BatchInference,2391,15,252,Medium,RegionA,80,2406,2391,NonPreemptive,RegionE,2391.0,2395.2,78.0,True
4202,AITraining,2377,94,280,Low,RegionE,150,2406,2377,NonPreemptive,RegionE,2377.0,2381.6666666666665,5.0,True
4316,RealTimeInference,2377,5,262,High,RegionA,20,2382,2377,NonPreemptive,RegionC,2377.0,2381.366666666667,15.0,True
4353,AITraining,2398,21,222,Low,RegionE,150,2406,2398,NonPreemptive,RegionD,2398.0,2401.7,22.0,True
4354,RealTimeInference,2390,4,357,High,RegionC,20,2396,2390,NonPreemptive,RegionB,2390.0,2395.95,14.0,True
4418,BatchInference,2398,11,254,Medium,RegionD,80,2406,2398,NonPreemptive,RegionF,2398.0,2402.233333333333,25.0,True
4590,RealTimeInference,2382,5,207,High,RegionC,20,2386,2382,NonPreemptive,RegionB,2382.0,2385.45,14.0,True
4599,AITraining,2385,34,130,Low,RegionD,150,2406,2385,NonPreemptive,RegionF,2385.0,2387.1666666666665,25.0,True
4611,BatchInference,2393,15,123,Medium,RegionA,80,2406,2393,NonPreemptive,RegionC,2393.0,2395.05,15.0,True
4848,BatchInference,2394,17,216,Medium,RegionB,80,2406,2394,NonPreemptive,RegionB,2394.0,2397.6,5.0,True
4851,BatchInference,2390,8,230,Medium,RegionD,80,2406,2390,NonPreemptive,RegionF,2390.0,2393.8333333333335,25.0,True
4886,RealTimeInference,2398,3,200,High,RegionF,20,2402,2398,NonPreemptive,RegionF,2398.0,2401.3333333333335,5.0,True
4930,AITraining,2391,50,352,Low,RegionE,150,2406,2391,NonPreemptive,RegionE,2391.0,2396.866666666667,5.0,True
4943,RealTimeInference,2391,4,180,High,RegionC,20,2394,2391,NonPreemptive,RegionA,2391.0,2394.0,15.0,True
5138,RealTimeInference,2396,1,316,High,RegionB,20,2402,2396,NonPreemptive,RegionC,2396.0,2401.266666666667,14.0,True
5272,RealTimeInference,2398,4,261,High,RegionC,20,2403,2398,NonPreemptive,RegionC,2398.0,2402.35,5.0,True
5277,AITraining,2385,64,88,Low,RegionE,150,2406,2385,NonPreemptive,RegionE,2385.0,2386.4666666666667,5.0,True
5435,AITraining,2395,116,177,Low,RegionE,150,2406,2395,NonPreemptive,RegionD,2395.0,2397.95,22.0,True
5663,RealTimeInference,2393,6,255,High,RegionB,20,2398,2393,NonPreemptive,RegionA,2393.0,2397.25,12.0,True
5727,AITraining,2389,82,139,Low,RegionD,150,2406,2389,NonPreemptive,RegionD,2389.0,2391.3166666666666,5.0,True
5845,AITraining,2382,26,91,Low,RegionD,150,2406,2382,NonPreemptive,RegionD,2382.0,2383.516666666667,5.0,True
6052,AITraining,2380,92,297,Low,RegionF,150,2406,2380,NonPreemptive,RegionD,2380.0,2384.95,25.0,True
6232,RealTimeInference,2389,5,360,High,RegionA,20,2395,2389,NonPreemptive,RegionA,2389.0,2395.0,5.0,True
6235,RealTimeInference,2392,1,104,High,RegionB,20,2394,2392,NonPreemptive,RegionA,2392.0,2393.733333333333,12.0,True
6323,BatchInference,2388,5,142,Medium,RegionA,80,2406,2388,NonPreemptive,RegionE,2388.0,2390.366666666667,78.0,True
6392,BatchInference,2397,5,287,Medium,RegionD,80,2406,2397,NonPreemptive,RegionD,2397.0,2401.7833333333333,5.0,True
6423,RealTimeInference,2377,7,263,High,RegionA,20,2382,2377,NonPreemptive,RegionC,2377.0,2381.383333333333,15.0,True
6438,AITraining,2394,98,297,Low,RegionE,150,2406,2394,NonPreemptive,RegionA,2394.0,2398.95,78.0,True
6481,RealTimeInference,2377,6,387,High,RegionA,20,2384,2377,NonPreemptive,RegionC,2377.0,2383.45,15.0,True
6507,AITraining,2378,17,321,Low,RegionC,150,2406,2378,NonPreemptive,RegionD,2378.0,2383.35,58.0,True
6508,BatchInference,2394,23,299,Medium,RegionB,80,2406,2394,NonPreemptive,RegionF,2394.0,2398.983333333333,79.0,True
6767,AITraining,2395,29,42,Low,RegionF,150,2406,2395,NonPreemptive,RegionF,2395.0,2395.7,5.0,True
6876,AITraining,2391,52,390,Low,RegionD,150,2406,2391,NonPreemptive,RegionD,2391.0,2397.5,5.0,True
7165,RealTimeInference,2397,5,278,High,RegionB,20,2402,2397,NonPreemptive,RegionC,2397.0,2401.633333333333,14.0,True
7372,AITraining,2395,104,246,Low,RegionF,150,2406,2395,NonPreemptive,RegionE,2395.0,2399.1,18.0,True
7403,BatchInference,2376,10,374,Medium,RegionD,80,2406,2376,NonPreemptive,RegionF,2376.0,2382.233333333333,25.0,True
7484,RealTimeInference,2393,3,237,High,RegionA,20,2397,2393,NonPreemptive,RegionB,2393.0,2396.95,12.0,True
7530,RealTimeInference,2398,5,70,High,RegionA,20,2400,2398,NonPreemptive,RegionB,2398.0,2399.1666666666665,12.0,True
7542,RealTimeInference,2382,7,41,High,RegionD,20,2383,2382,NonPreemptive,RegionD,2382.0,2382.6833333333334,5.0,True
7857,AITraining,2399,115,77,Low,RegionF,150,2406,2399,NonPreemptive,RegionF,2399.0,2400.2833333333333,5.0,True
7874,BatchInference,2396,21,27,Medium,RegionC,80,2406,2396,NonPreemptive,RegionB,2396.0,2396.45,14.0,True
7890,RealTimeInference,2399,4,265,High,RegionE,20,2404,2399,NonPreemptive,RegionF,2399.0,2403.4166666666665,18.0,True
7902,BatchInference,2376,11,26,Medium,RegionE,80,2406,2376,NonPreemptive,RegionD,2376.0,2376.4333333333334,22.0,True
7973,AITraining,2379,70,67,Low,RegionE,150,2406,2379,NonPreemptive,RegionD,2379.0,2380.116666666667,22.0,True
8294,BatchInference,2395,8,62,Medium,RegionC,80,2406,2395,NonPreemptive,RegionE,2395.0,2396.0333333333333,70.0,True
8353,RealTimeInference,2386,5,75,High,RegionB,20,2388,2386,NonPreemptive,RegionB,2386.0,2387.25,5.0,True
8745,BatchInference,2398,21,126,Medium,RegionB,80,2406,2398,NonPreemptive,RegionF,2398.0,2400.1,79.0,True
8760,AITraining,2390,44,275,Low,RegionE,150,2406,2390,NonPreemptive,RegionE,2390.0,2394.5833333333335,5.0,True
8915,AITraining,2392,97,49,Low,RegionD,150,2406,2392,NonPreemptive,RegionB,2392.0,2392.8166666666666,60.0,True
8972,RealTimeInference,2398,2,246,High,RegionD,20,2403,2398,NonPreemptive,RegionD,2398.0,2402.1,5.0,True
9168,RealTimeInference,2387,3,141,High,RegionC,20,2390,2387,NonPreemptive,RegionB,2387.0,2389.35,14.0,True
9267,BatchInference,2376,7,22,Medium,RegionE,80,2406,2376,NonPreemptive,RegionE,2376.0,2376.366666666667,5.0,True
9415,AITraining,2376,119,88,Low,RegionD,150,2406,2376,NonPreemptive,RegionD,2376.0,2377.4666666666667,5.0,True
9535,AITraining,2387,58,338,Low,RegionE,150,2406,2387,NonPreemptive,RegionF,2387.0,2392.633333333333,18.0,True
9572,AITraining,2398,123,364,Low,RegionD,150,2406,2398,NonPreemptive,RegionD,2398.0,2404.0666666666666,5.0,True
9585,RealTimeInference,2381,7,122,High,RegionB,20,2384,2381,NonPreemptive,RegionB,2381.0,2383.0333333333333,5.0,True
9591,AITraining,2378,27,191,Low,RegionD,150,2406,2378,NonPreemptive,RegionF,2378.0,2381.1833333333334,25.0,True
9621,RealTimeInference,2399,6,80,High,RegionC,20,2401,2399,NonPreemptive,RegionB,2399.0,2400.3333333333335,14.0,True
9845,AITraining,2379,102,55,Low,RegionF,150,2406,2379,NonPreemptive,RegionE,2379.0,2379.9166666666665,18.0,True
9850,BatchInference,2387,13,344,Medium,RegionE,80,2406,2387,NonPreemptive,RegionE,2387.0,2392.733333333333,5.0,True
9936,RealTimeInference,2385,5,91,High,RegionC,20,2387,2385,NonPreemptive,RegionB,2385.0,2386.516666666667,14.0,True
10184,BatchInference,2390,15,167,Medium,RegionD,80,2406,2390,NonPreemptive,RegionE,2390.0,2392.7833333333333,22.0,True
10275,AITraining,2386,38,125,Low,RegionE,150,2406,2386,NonPreemptive,RegionF,2386.0,2388.0833333333335,18.0,True
10284,BatchInference,2396,14,137,Medium,RegionF,80,2406,2396,NonPreemptive,RegionE,2396.0,2398.2833333333333,18.0,True
10306,AITraining,2384,68,272,Low,RegionD,150,2406,2384,NonPreemptive,RegionD,2384.0,2388.5333333333333,5.0,True
10407,RealTimeInference,2389,7,142,High,RegionC,20,2392,2389,NonPreemptive,RegionA,2389.0,2391.366666666667,15.0,True
10504,BatchInference,2396,4,69,Medium,RegionC,80,2406,2396,NonPreemptive,RegionB,2396.0,2397.15,14.0,True
10622,BatchInference,2379,23,334,Medium,RegionC,80,2406,2379,NonPreemptive,RegionF,2379.0,2384.5666666666666,76.0,True
10704,AITraining,2382,110,65,Low,RegionF,150,2406,2382,NonPreemptive,RegionF,2382.0,2383.0833333333335,5.0,True
11216,BatchInference,2379,20,307,Medium,RegionA,80,2406,2379,NonPreemptive,RegionE,2379.0,2384.116666666667,78.0,True
11304,AITraining,2383,112,70,Low,RegionD,150,2406,2383,NonPreemptive,RegionE,2383.0,2384.1666666666665,22.0,True
11351,BatchInference,2394,16,261,Medium,RegionD,80,2406,2394,NonPreemptive,RegionE,2394.0,2398.35,22.0,True
11360,RealTimeInference,2384,3,394,High,RegionE,20,2391,2384,NonPreemptive,RegionE,2384.0,2390.5666666666666,5.0,True
11383,BatchInference,2380,22,111,Medium,RegionC,80,2406,2380,NonPreemptive,RegionF,2380.0,2381.85,76.0,True
11780,BatchInference,2398,21,35,Medium,RegionF,80,2406,2398,NonPreemptive,RegionE,2398.0,2398.5833333333335,18.0,True
11834,BatchInference,2386,19,352,Medium,RegionB,80,2406,2386,NonPreemptive,RegionD,2386.0,2391.866666666667,60.0,True
11877,RealTimeInference,2382,7,83,High,RegionC,20,2384,2382,NonPreemptive,RegionC,2382.0,2383.383333333333,5.0,True
11961,AITraining,2376,111,246,Low,RegionE,150,2406,2376,NonPreemptive,RegionD,2376.0,2380.1,22.0,True
11993,BatchInference,2382,15,236,Medium,RegionC,80,2406,2382,NonPreemptive,RegionF,2382.0,2385.9333333333334,76.0,True
12025,RealTimeInference,2387,2,39,High,RegionA,20,2388,2387,NonPreemptive,RegionA,2387.0,2387.65,5.0,True
12181,AITraining,2381,68,142,Low,RegionC,150,2406,2381,NonPreemptive,RegionE,2381.0,2383.366666666667,70.0,True
