Hour,Region,TaskType,Model,Actual_GPU_Demand,Predicted_GPU_Demand
2376,RegionA,RealTimeInference,ARIMA,3.0,9.678065300059837
2377,RegionA,RealTimeInference,ARIMA,20.0,9.771745419601428
2378,RegionA,RealTimeInference,ARIMA,8.0,9.789418347852521
2379,RegionA,RealTimeInference,ARIMA,5.0,9.835853248439683
2380,RegionA,RealTimeInference,ARIMA,0.0,9.835853248439683
2381,RegionA,RealTimeInference,ARIMA,7.0,9.835853248439683
2382,RegionA,RealTimeInference,ARIMA,1.0,9.835853248439683
2383,RegionA,RealTimeInference,ARIMA,17.0,9.835853248439683
2384,RegionA,RealTimeInference,ARIMA,12.0,9.835853248439683
2385,RegionA,RealTimeInference,ARIMA,5.0,9.835853248439683
2386,RegionA,RealTimeInference,ARIMA,6.0,9.835853248439683
2387,RegionA,RealTimeInference,ARIMA,11.0,9.835853248439683
2388,RegionA,RealTimeInference,ARIMA,15.0,9.835853248439683
2389,RegionA,RealTimeInference,ARIMA,14.0,9.835853248439683
2390,RegionA,RealTimeInference,ARIMA,0.0,9.835853248439683
2391,RegionA,RealTimeInference,ARIMA,8.0,9.835853248439683
2392,RegionA,RealTimeInference,ARIMA,6.0,9.835853248439683
2393,RegionA,RealTimeInference,ARIMA,19.0,9.835853248439683
2394,RegionA,RealTimeInference,ARIMA,4.0,9.835853248439683
2395,RegionA,RealTimeInference,ARIMA,12.0,9.835853248439683
2396,RegionA,RealTimeInference,ARIMA,16.0,9.835853248439683
2397,RegionA,RealTimeInference,ARIMA,0.0,9.835853248439683
2398,RegionA,RealTimeInference,ARIMA,15.0,9.835853248439683
2399,RegionA,RealTimeInference,ARIMA,4.0,9.835853248439683
2376,RegionA,BatchInference,ARIMA,11.0,19.48980073063833
2377,RegionA,BatchInference,ARIMA,35.0,16.994725389276716
2378,RegionA,BatchInference,ARIMA,0.0,18.707600106089433
2379,RegionA,BatchInference,ARIMA,38.0,20.487423383145817
2380,RegionA,BatchInference,ARIMA,0.0,19.03860062444947
2381,RegionA,BatchInference,ARIMA,43.0,17.06942404471729
