Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AITrainingPower_MW,GPU_Utilization_Percent,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,Curtailment_MW,IT_Load_MW,Total_Load_MW,GridPurchase_MW,GridCharge_MW,GridSell_MW,NetGridImport_MW,CarbonEmission_tCO2,DemandResponseLevel,SOC_MWh,ChargePower_MW,DischargePower_MW,Baseline_AI_IT_Load_MW,NonAI_IT_Load_MW,DataPeriod,PUE,Facility_Load_MW,Scenario,OperatingCost_CNY,PowerBalanceResidual_MW,ChargeMode,StorageActivity_MW
960,RegionF,Valley,261.55,204.01,0.2725,121.12,80.707384,540.19,247.8152,58.475,0.0,318.86,404.9522,0.0,60.0,220.0,-220.0,0.0,Low,489.87300893208163,0.0,84.762200423291,123.3493333333,195.510667,Main_0_2399,1.27,404.95220042329106,成本—碳排放等权方案,-44882.2,0.0,0.0,84.762200423291
961,RegionF,Valley,261.5,203.97,0.2731,114.3866666667,75.146653,587.87,331.5246,51.2691,0.0,422.43,536.4861,0.0,60.0,220.0,-220.0,0.0,Low,308.56537497863116,0.0,168.61609957670896,115.4066666667,307.023333,Main_0_2399,1.27,536.486099576709,成本—碳排放等权方案,-44873.4,0.0,0.0,168.61609957670896
962,RegionF,Valley,261.45,203.93,0.2724,85.6986666667,57.439614,650.0,330.5741,63.8852,0.0,419.83,533.1841,0.0,60.0,220.0,-220.0,0.0,Low,197.6147302724924,0.0,103.18409957670906,87.5436666667,332.286333,Main_0_2399,1.27,533.1840995767091,成本—碳排放等权方案,-44864.6,0.0,0.0,103.18409957670906
963,RegionF,Valley,261.42,203.91,0.2703,58.224,42.129055,722.35,360.7193,72.3261,0.0,459.63,583.7301,0.0,60.0,220.0,-220.0,0.0,Medium,110.10924685667631,0.0,81.38009957670897,62.4506666667,397.179333,Main_0_2399,1.27,583.730099576709,成本—碳排放等权方案,-44860.2,0.0,0.0,81.38009957670897
964,RegionF,Valley,261.38,203.88,0.2669,70.9226666667,52.097999,800.0,369.228,86.1544,0.0,475.08,603.3516,0.0,60.0,220.0,-220.0,0.0,Medium,85.0,0.0,23.351599576708963,76.8426666667,398.237333,Main_0_2399,1.27,603.351599576709,成本—碳排放等权方案,-44853.6,0.0,0.0,23.351599576708963
965,RegionF,Valley,261.35,203.85,0.2626,54.7626666667,41.642512,877.65,357.798,0.0,63.721800423290915,467.66,593.9282,0.0,25.7293,220.0,-220.0,0.0,Medium,85.0,0.0,0.0,60.6826666667,406.977333,Main_0_2399,1.27,593.9281995767091,成本—碳排放等权方案,-44847.0,0.0,0.0,0.0
966,RegionF,Valley,261.33,203.84,0.2576,38.9146666667,30.714286,950.0,358.1055,0.0,123.04160000000002,477.92,606.9584,0.0,0.0,220.0,-220.0,0.0,Medium,85.0,0.0,0.0,44.183,433.737,Main_0_2399,1.27,606.9584,成本—碳排放等权方案,-44844.8,0.0,0.0,0.0
967,RegionF,Flat,402.02,313.58,0.2522,54.296,40.143202,1012.13,355.0161,0.0,175.27829957670895,485.71,616.8517,0.0,0.0,220.0,-220.0,0.0,Medium,85.0,0.0,0.0,59.1073333333,426.602667,Main_0_2399,1.27,616.851700423291,成本—碳排放等权方案,-68987.59999999999,0.0,0.0,0.0
968,RegionF,Flat,402.01,313.57,0.2468,58.5226666667,44.799862,1059.81,357.5202,0.0,201.38100042329097,502.7,638.429,0.0,0.0,220.0,-220.0,0.0,Medium,85.0,0.0,0.0,65.2226666667,437.477333,Main_0_2399,1.27,638.428999576709,成本—碳排放等权方案,-68985.4,0.0,0.0,0.0
969,RegionF,Flat,402.0,313.56,0.2418,39.1866666667,34.090752,1089.78,280.581,0.0,354.452100423291,405.77,515.3279,0.0,0.0,220.0,-220.0,0.0,Low,85.0,0.0,0.0,47.6266666667,358.143333,Main_0_2399,1.27,515.327899576709,成本—碳排放等权方案,-68983.2,0.0,0.0,0.0
