Scenario,Region,PeakNetImport_MW,PeakHour_h,PeakReduction_MW,PeakReductionRate,NetImportStd_MW,FluctuationReductionRate,MeanHourlyRamp_MW_per_h,MeanHourlyRampReductionRate,PeakValleyRange_MW,PeakValleyReductionRate,StoragePeakReduction_MW,StorageNetImportStdReduction_MW,StorageMeanHourlyRampReduction_MW_per_h,StoragePeakValleyReduction_MW
附件基准状态,RegionA,497.0016,2.0,0.0,0.0,96.79949584066992,0.0,24.183527472984206,0.0,497.0016,0.0,-497.0016,-96.79949584066992,-24.183527472984206,-497.0016
附件基准状态,RegionB,467.856,2.0,0.0,0.0,88.8141416305529,0.0,22.072893599334996,0.0,467.856,0.0,-467.856,-88.8141416305529,-22.072893599334996,-467.856
附件基准状态,RegionC,455.2661,1.0,0.0,0.0,85.04352760142369,0.0,21.429360847880297,0.0,455.2661,0.0,-455.2661,-85.04352760142369,-21.429360847880297,-455.2661
附件基准状态,RegionD,282.5815,868.0,0.0,0.0,135.11283870285965,0.0,38.16797813798836,0.0,462.5815,0.0,-282.5815,-104.79321472777556,-29.419624465102945,-335.47550042662397
附件基准状态,RegionE,166.06040000000002,1105.0,0.0,0.0,116.22146799094789,0.0,31.32411712385702,0.0,386.0604,0.0,-166.06040000000002,-74.078791082192,-19.911667000554033,-189.45415000000008
附件基准状态,RegionF,152.49719999999996,554.0,0.0,0.0,109.8217861917499,0.0,31.63748952618454,0.0,372.49719999999996,0.0,-120.89933290999994,-64.07292251664589,-19.423111464152804,-120.89933290999994
无储能辅助对照,RegionA,0.0,,497.0016,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
无储能辅助对照,RegionB,0.0,,467.856,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
无储能辅助对照,RegionC,0.0,,455.2661,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
无储能辅助对照,RegionD,0.0,,282.5815,1.0,30.319623975084088,0.7755977576508252,8.748353672885411,0.7707933692149591,127.10599957337604,0.7252246370134213,0.0,0.0,0.0,0.0
无储能辅助对照,RegionE,0.0,,166.06040000000002,1.0,42.14267690875589,0.6373933522158036,11.41245012330299,0.6356657051760588,196.60624999999993,0.49073707119404136,0.0,0.0,0.0,0.0
无储能辅助对照,RegionF,31.597867090000022,2400.0,120.89933290999994,0.7927970671592657,45.748863675104,0.5834263376919945,12.214378062031736,0.6139270768648506,251.59786709000002,0.3245644072223897,0.0,0.0,0.0,0.0
最低成本方案,RegionA,0.0,,497.0016,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
最低成本方案,RegionB,0.0,,467.856,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
最低成本方案,RegionC,0.0,,455.2661,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
最低成本方案,RegionD,0.0,,282.5815,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.319623975084088,8.748353672885411,127.10599957337604
最低成本方案,RegionE,0.0,,166.06040000000002,1.0,2.916851296476297,0.9749026462417126,0.17759316690933968,0.9943304653661226,105.79999958337488,0.7259496193254349,0.0,39.22582561227959,11.234856956393651,90.80625041662505
最低成本方案,RegionF,0.0,,152.49719999999996,1.0,2.7197844290909137,0.9752345638929771,0.2268281511389235,0.9928303998030188,100.6757999999999,0.7297273643936117,31.597867090000022,43.02907924601308,11.987549910892813,150.92206709000013
最低碳排放方案,RegionA,0.0,,497.0016,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
最低碳排放方案,RegionB,0.0,,467.856,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
最低碳排放方案,RegionC,0.0,,455.2661,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
最低碳排放方案,RegionD,0.0,,282.5815,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.319623975084088,8.748353672885411,127.10599957337604
最低碳排放方案,RegionE,0.0,,166.06040000000002,1.0,2.916851296476297,0.9749026462417126,0.17759316690933968,0.9943304653661226,105.79999958337488,0.7259496193254349,0.0,39.22582561227959,11.234856956393651,90.80625041662505
最低碳排放方案,RegionF,0.0,,152.49719999999996,1.0,2.7197844290909137,0.9752345638929771,0.2268281511389235,0.9928303998030188,100.6757999999999,0.7297273643936117,31.597867090000022,43.02907924601308,11.987549910892813,150.92206709000013
成本—碳排放等权方案,RegionA,0.0,,497.0016,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
成本—碳排放等权方案,RegionB,0.0,,467.856,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
成本—碳排放等权方案,RegionC,0.0,,455.2661,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
成本—碳排放等权方案,RegionD,0.0,,282.5815,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.319623975084088,8.748353672885411,127.10599957337604
成本—碳排放等权方案,RegionE,0.0,,166.06040000000002,1.0,2.916851296476297,0.9749026462417126,0.17759316690933968,0.9943304653661226,105.79999958337488,0.7259496193254349,0.0,39.22582561227959,11.234856956393651,90.80625041662505
成本—碳排放等权方案,RegionF,0.0,,152.49719999999996,1.0,2.7197844290909137,0.9752345638929771,0.2268281511389235,0.9928303998030188,100.6757999999999,0.7297273643936117,31.597867090000022,43.02907924601308,11.987549910892813,150.92206709000013
