Scenario,Region,MaxPowerBalanceResidual_MW,SimultaneousChargeDischargeCount,SOCBelowMin_MWh,SOCAboveCapacity_MWh,TerminalSOCShortfall_MWh,PeakLimitExcess_MW,GridImportLimitExcess_MW,GridExportLimitExcess_MW,SellSourceExcess_MW,Passed
最低成本方案,RegionA,4.263256414560601e-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低成本方案,RegionB,2.2737367544323206e-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低成本方案,RegionC,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低成本方案,RegionD,1.1368683772161603e-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低成本方案,RegionE,1.1368683772161603e-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低成本方案,RegionF,5.684341886080802e-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低碳排放方案,RegionA,4.263256414560601e-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低碳排放方案,RegionB,2.2737367544323206e-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低碳排放方案,RegionC,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低碳排放方案,RegionD,1.1368683772161603e-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低碳排放方案,RegionE,1.1368683772161603e-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
最低碳排放方案,RegionF,5.684341886080802e-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
成本—碳排放等权方案,RegionA,4.263256414560601e-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
成本—碳排放等权方案,RegionB,2.2737367544323206e-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
成本—碳排放等权方案,RegionC,9.237055564881302e-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
成本—碳排放等权方案,RegionD,1.1368683772161603e-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
成本—碳排放等权方案,RegionE,1.1368683772161603e-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
成本—碳排放等权方案,RegionF,5.684341886080802e-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
