TaskID,OriginalRegion,NewRegion,OriginalStartHour,NewStartHour,EstimatedEnergySaving_CNY,Scenario,Iteration
43988,RegionD,RegionB,140.0,140.0,46067.25427200005,最低碳排放端点_联合协调,1
14195,RegionF,RegionD,1053.0,1053.0,43614.83529999967,最低碳排放端点_联合协调,1
21427,RegionD,RegionF,1555.0,1567.0,42763.83989759957,最低碳排放端点_联合协调,1
17757,RegionD,RegionD,1557.0,1546.0,39838.67904,最低碳排放端点_联合协调,1
38801,RegionD,RegionD,1556.0,1563.0,39672.15943680049,最低碳排放端点_联合协调,1
43177,RegionE,RegionD,380.0,381.0,39660.444266666615,最低碳排放端点_联合协调,1
3364,RegionE,RegionD,356.0,357.0,39472.321533333285,最低碳排放端点_联合协调,1
21764,RegionF,RegionA,572.0,572.0,39255.84156266662,最低碳排放端点_联合协调,1
19721,RegionD,RegionE,142.0,142.0,38199.73836799996,最低碳排放端点_联合协调,1
15957,RegionD,RegionE,140.0,142.0,37501.94380799997,最低碳排放端点_联合协调,1
9472,RegionE,RegionC,404.0,404.0,37204.44000000008,最低碳排放端点_联合协调,1
11121,RegionF,RegionB,1220.0,1220.0,37055.24618400042,最低碳排放端点_联合协调,1
18472,RegionF,RegionD,645.0,645.0,36841.047983999735,最低碳排放端点_联合协调,1
11092,RegionF,RegionB,2108.0,2108.0,36824.53710346681,最低碳排放端点_联合协调,1
15461,RegionF,RegionE,1986.0,1998.0,36625.9530624001,最低碳排放端点_联合协调,1
21799,RegionE,RegionD,979.0,992.0,36603.11760000026,最低碳排放端点_联合协调,1
49662,RegionF,RegionB,2085.0,2085.0,36534.84495573232,最低碳排放端点_联合协调,1
32868,RegionE,RegionF,886.0,894.0,36208.588,最低碳排放端点_联合协调,1
42229,RegionD,RegionF,1553.0,1546.0,36113.48787200071,最低碳排放端点_联合协调,1
8357,RegionE,RegionB,499.0,499.0,36042.53119999991,最低碳排放端点_联合协调,1
45470,RegionE,RegionA,1507.0,1507.0,36034.22500000021,最低碳排放端点_联合协调,1
10517,RegionF,RegionC,1914.0,1914.0,35785.85476799971,最低碳排放端点_联合协调,1
23951,RegionE,RegionD,236.0,237.0,35768.14620000005,最低碳排放端点_联合协调,1
33203,RegionF,RegionD,1053.0,1053.0,35450.54916479988,最低碳排放端点_联合协调,1
49688,RegionF,RegionB,575.0,575.0,35423.99417599999,最低碳排放端点_联合协调,1
8771,RegionF,RegionD,1508.0,1509.0,35338.60953599978,最低碳排放端点_联合协调,1
38820,RegionD,RegionD,307.0,293.0,35124.99606186658,最低碳排放端点_联合协调,1
1255,RegionE,RegionC,1481.0,1481.0,34855.9040000002,最低碳排放端点_联合协调,1
49456,RegionF,RegionD,1918.0,1918.0,34586.13748240007,最低碳排放端点_联合协调,1
22959,RegionF,RegionD,572.0,573.0,34389.414922666634,最低碳排放端点_联合协调,1
35349,RegionE,RegionB,453.0,453.0,34335.4297904001,最低碳排放端点_联合协调,1
36220,RegionF,RegionF,1893.0,1901.0,34259.46056400039,最低碳排放端点_联合协调,1
3296,RegionE,RegionF,2038.0,2046.0,34228.376090139776,最低碳排放端点_联合协调,1
21510,RegionE,RegionD,884.0,885.0,34196.01439999969,最低碳排放端点_联合协调,1
20011,RegionE,RegionD,2229.0,2229.0,34115.47660000088,最低碳排放端点_联合协调,1
34905,RegionE,RegionD,189.0,195.0,33981.84719999997,最低碳排放端点_联合协调,1
2119,RegionF,RegionD,1127.0,1127.0,33917.77824,最低碳排放端点_联合协调,1
6637,RegionD,RegionF,956.0,946.0,33590.15680000009,最低碳排放端点_联合协调,1
29637,RegionF,RegionD,1463.0,1468.0,33498.57447253381,最低碳排放端点_联合协调,1
35314,RegionF,RegionF,1029.0,1038.0,33491.49613600045,最低碳排放端点_联合协调,1
28964,RegionF,RegionF,191.0,198.0,33389.13637119994,最低碳排放端点_联合协调,1
9407,RegionD,RegionD,524.0,510.0,33348.575232,最低碳排放端点_联合协调,1
14272,RegionE,RegionD,235.0,237.0,33074.73333333332,最低碳排放端点_联合协调,1
35883,RegionE,RegionD,1291.0,1293.0,33067.20360000039,最低碳排放端点_联合协调,1
37979,RegionF,RegionA,2255.0,2255.0,32988.51253439922,最低碳排放端点_联合协调,1
14217,RegionF,RegionB,2013.0,2013.0,32959.439457333414,最低碳排放端点_联合协调,1
36483,RegionF,RegionD,597.0,597.0,32856.66147306659,最低碳排放端点_联合协调,1
12236,RegionD,RegionE,143.0,143.0,32652.979541333312,最低碳排放端点_联合协调,1
22816,RegionF,RegionB,2059.0,2057.0,32503.49160959956,最低碳排放端点_联合协调,1
7800,RegionF,RegionD,2107.0,2109.0,32382.25761280081,最低碳排放端点_联合协调,1
24837,RegionF,RegionD,261.0,261.0,32253.62868684687,最低碳排放端点_联合协调,1
14560,RegionD,RegionF,307.0,294.0,32225.89330773329,最低碳排放端点_联合协调,1
49870,RegionE,RegionF,2300.0,2310.0,32148.784800000347,最低碳排放端点_联合协调,1
8179,RegionF,RegionA,260.0,260.0,32044.957499999902,最低碳排放端点_联合协调,1
15886,RegionF,RegionD,2277.0,2277.0,32027.37287680044,最低碳排放端点_联合协调,1
16046,RegionD,RegionD,907.0,896.0,32023.216128,最低碳排放端点_联合协调,1
34068,RegionE,RegionD,1245.0,1246.0,32016.74576666693,最低碳排放端点_联合协调,1
15831,RegionD,RegionF,1557.0,1567.0,31957.38603520015,最低碳排放端点_联合协调,1
15105,RegionF,RegionF,1148.0,1157.0,31952.792787200447,最低碳排放端点_联合协调,1
26899,RegionF,RegionD,476.0,477.0,31942.32879999998,最低碳排放端点_联合协调,1
255,RegionE,RegionD,523.0,530.0,31796.92273333336,最低碳排放端点_联合协调,1
5481,RegionF,RegionF,671.0,677.0,31751.999488,最低碳排放端点_联合协调,1
16113,RegionF,RegionE,2132.0,2134.0,31720.75545600039,最低碳排放端点_联合协调,1
36680,RegionD,RegionF,2400.0,2387.0,31543.535957332217,最低碳排放端点_联合协调,1
11067,RegionD,RegionD,189.0,178.0,31519.41358933328,最低碳排放端点_联合协调,1
32106,RegionF,RegionF,572.0,581.0,31501.60628800012,最低碳排放端点_联合协调,1
6007,RegionE,RegionF,813.0,824.0,31403.93760000012,最低碳排放端点_联合协调,1
23843,RegionF,RegionC,309.0,299.0,31331.916,最低碳排放端点_联合协调,1
10857,RegionE,RegionF,283.0,293.0,31325.07666666665,最低碳排放端点_联合协调,1
40247,RegionE,RegionF,115.0,128.0,31200.03920000003,最低碳排放端点_联合协调,1
43679,RegionF,RegionF,1151.0,1157.0,31183.16344,最低碳排放端点_联合协调,1
2140,RegionF,RegionD,573.0,573.0,31118.62237866641,最低碳排放端点_联合协调,1
10783,RegionE,RegionF,1028.0,1038.0,31046.295000000267,最低碳排放端点_联合协调,1
6852,RegionE,RegionC,2105.0,2100.0,30993.075000000503,最低碳排放端点_联合协调,1
43675,RegionE,RegionD,405.0,405.0,30960.89879999988,最低碳排放端点_联合协调,1
10991,RegionD,RegionF,977.0,969.0,30937.33649066663,最低碳排放端点_联合协调,1
30443,RegionD,RegionD,1557.0,1544.0,30874.976256,最低碳排放端点_联合协调,1
40708,RegionD,RegionB,308.0,293.0,30722.39063039996,最低碳排放端点_联合协调,1
