方案,求解状态,有可行解,运行时间_s,MIPGap,OperatingCost_CNY,CarbonEmission_tCO2,Curtailment_MWh,CurtailmentRate,RenewableUtilization,PeakByRegion
最低成本端点,OPTIMAL,1,1.8839998245239256,0.0,-435195092.7261525,534.1378977967175,3646665.212269151,0.3157075874620995,0.6842924125379005,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 111.68754624000007, 'RegionE': 74.32416666666666, 'RegionF': 88.66108333332261}"
最低碳排放端点,OPTIMAL,1,2.0209999084472656,0.0,-435155777.8464526,1.000099545252649e-06,3646528.388515365,0.3156957420376634,0.6843042579623366,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 4.3388266605321e-06, 'RegionF': 0.0}"
最高新能源利用率端点,TIME_LIMIT,1,60.2979998588562,,-424965657.3838878,324.66847450817164,3553279.220593258,0.3076227580580845,0.6923772419419154,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 111.68754624000007, 'RegionE': 74.32416666666666, 'RegionF': 75.91324666666662}"
Pareto_E1_Q1,TIME_LIMIT,0,60.14200019836426,0.0,,,,,,
Pareto_E1_Q2,OPTIMAL,1,2.2779998779296875,1.3697312045439802e-16,-435155777.84646136,1.100099545252649e-06,3599972.217586271,0.3116651728600911,0.6883348271399089,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 4.772666139924724e-06, 'RegionF': 0.0}"
Pareto_E1_Q3,OPTIMAL,1,1.0429999828338623,1.3697312045439802e-16,-435155777.84646136,1.100099545252649e-06,3646665.213424218,0.3157075875620986,0.6842924124379014,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 4.772666139924724e-06, 'RegionF': 0.0}"
Pareto_E2_Q1,TIME_LIMIT,0,75.69900012016296,0.0,,,,,,
Pareto_E2_Q2,OPTIMAL,1,15.3510000705719,0.0,-435177716.3579821,267.06894949840853,3599972.2175862705,0.3116651728600911,0.6883348271399089,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 74.32416666666666, 'RegionF': 45.963542486658774}"
Pareto_E2_Q3,OPTIMAL,1,0.99399995803833,0.0,-435177716.3579821,267.06894949840853,3631560.9547328944,0.3143999465272711,0.6856000534727289,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 74.32416666666666, 'RegionF': 45.963542486658774}"
Pareto_E3_Q1,TIME_LIMIT,0,85.92900013923645,0.0,,,,,,
