Scenario,Category,Check,Violation,Passed
基准折中,任务,任务未成功调度数,0.0,True
基准折中,任务,任务重复数,0.0,True
基准折中,任务,提前开工任务数,0.0,True
基准折中,任务,连续执行时长最大误差_h,6.217248937900877e-13,True
基准折中,任务,实时任务未立即开工数,0.0,True
基准折中,任务,网络时延超限任务数,0.0,True
基准折中,任务,截止时间超限任务数,0.0,True
基准折中,任务,GPU容量超限时段数,0.0,True
基准折中,任务,IT功率超限时段数,0.0,True
基准折中,任务,设施功率超限时段数,0.0,True
基准折中,任务,第2406小时AI负荷_MW,0.0,True
基准折中,能源,电力平衡最大残差_MW,6.934897101018578e-12,True
基准折中,能源,同时充放电时段数,0.0,True
基准折中,能源,同时购售电时段数,0.0,True
基准折中,能源,SOC下界超限_MWh,0.0,True
基准折中,能源,SOC上界超限_MWh,0.0,True
基准折中,能源,终端SOC不足_MWh,0.0,True
基准折中,能源,购电功率超限_MW,0.0,True
基准折中,能源,售电功率超限_MW,0.0,True
基准折中,能源,碳约束超限_tCO2,0.0,True
基准折中,能源,弃电率约束超限,0.0,True
宽松碳约束,能源,电力平衡最大残差_MW,9.350742402602918e-12,True
宽松碳约束,能源,同时充放电时段数,0.0,True
宽松碳约束,能源,同时购售电时段数,0.0,True
宽松碳约束,能源,SOC下界超限_MWh,0.0,True
宽松碳约束,能源,SOC上界超限_MWh,0.0,True
宽松碳约束,能源,终端SOC不足_MWh,0.0,True
宽松碳约束,能源,购电功率超限_MW,0.0,True
宽松碳约束,能源,售电功率超限_MW,0.0,True
宽松碳约束,能源,碳约束超限_tCO2,0.0,True
宽松碳约束,能源,弃电率约束超限,0.0,True
严格碳约束,能源,电力平衡最大残差_MW,9.350742402602918e-12,True
严格碳约束,能源,同时充放电时段数,0.0,True
严格碳约束,能源,同时购售电时段数,0.0,True
严格碳约束,能源,SOC下界超限_MWh,0.0,True
严格碳约束,能源,SOC上界超限_MWh,0.0,True
严格碳约束,能源,终端SOC不足_MWh,0.0,True
严格碳约束,能源,购电功率超限_MW,0.0,True
严格碳约束,能源,售电功率超限_MW,0.0,True
严格碳约束,能源,碳约束超限_tCO2,0.0,True
严格碳约束,能源,弃电率约束超限,0.0,True
平坦电价,能源,电力平衡最大残差_MW,9.350742402602918e-12,True
平坦电价,能源,同时充放电时段数,0.0,True
平坦电价,能源,同时购售电时段数,0.0,True
平坦电价,能源,SOC下界超限_MWh,0.0,True
平坦电价,能源,SOC上界超限_MWh,0.0,True
平坦电价,能源,终端SOC不足_MWh,0.0,True
平坦电价,能源,购电功率超限_MW,0.0,True
平坦电价,能源,售电功率超限_MW,0.0,True
平坦电价,能源,碳约束超限_tCO2,0.0,True
平坦电价,能源,弃电率约束超限,0.0,True
扩大峰谷价差,能源,电力平衡最大残差_MW,9.350742402602918e-12,True
扩大峰谷价差,能源,同时充放电时段数,0.0,True
扩大峰谷价差,能源,同时购售电时段数,0.0,True
扩大峰谷价差,能源,SOC下界超限_MWh,0.0,True
扩大峰谷价差,能源,SOC上界超限_MWh,0.0,True
扩大峰谷价差,能源,终端SOC不足_MWh,0.0,True
扩大峰谷价差,能源,购电功率超限_MW,0.0,True
扩大峰谷价差,能源,售电功率超限_MW,0.0,True
扩大峰谷价差,能源,碳约束超限_tCO2,0.0,True
扩大峰谷价差,能源,弃电率约束超限,0.0,True
低新能源波动,能源,电力平衡最大残差_MW,1.0544454198679887e-11,True
低新能源波动,能源,同时充放电时段数,0.0,True
低新能源波动,能源,同时购售电时段数,0.0,True
低新能源波动,能源,SOC下界超限_MWh,0.0,True
低新能源波动,能源,SOC上界超限_MWh,0.0,True
低新能源波动,能源,终端SOC不足_MWh,0.0,True
低新能源波动,能源,购电功率超限_MW,0.0,True
低新能源波动,能源,售电功率超限_MW,0.0,True
低新能源波动,能源,碳约束超限_tCO2,0.0,True
低新能源波动,能源,弃电率约束超限,0.0,True
高新能源波动,能源,电力平衡最大残差_MW,1.4921397450962104e-11,True
高新能源波动,能源,同时充放电时段数,0.0,True
高新能源波动,能源,同时购售电时段数,0.0,True
高新能源波动,能源,SOC下界超限_MWh,0.0,True
高新能源波动,能源,SOC上界超限_MWh,0.0,True
高新能源波动,能源,终端SOC不足_MWh,0.0,True
高新能源波动,能源,购电功率超限_MW,0.0,True
高新能源波动,能源,售电功率超限_MW,0.0,True
高新能源波动,能源,碳约束超限_tCO2,0.0,True
高新能源波动,能源,弃电率约束超限,0.0,True
