Scenario,Iteration,MovedTasks,Accepted,CostBefore_CNY,CostAfter_CNY,CostImprovementRate
最低碳排放端点_联合协调,1,1414,True,-435155777.8464526,-451538970.5069335,0.0376490293695738
最低碳排放端点_联合协调,2,1229,True,-451538970.5069335,-455494355.49376655,0.0087597865194059
最低碳排放端点_联合协调,3,1005,True,-455494355.49376655,-456862577.8487754,0.0030038184634047
最高新能源利用率端点_联合协调,1,1405,True,-424965657.3838878,-451348437.862856,0.0620821471583893
最高新能源利用率端点_联合协调,2,1235,True,-451348437.862856,-455596013.4240707,0.0094108569009943
最高新能源利用率端点_联合协调,3,1000,True,-455596013.4240707,-457015392.4057197,0.0031154332782271
Pareto_E1_Q2_联合协调,1,1414,True,-435155777.84646136,-451538970.5068822,0.0376490293694351
Pareto_E1_Q2_联合协调,2,1229,True,-451538970.5068822,-455494355.49376655,0.0087597865195205
Pareto_E1_Q2_联合协调,3,1005,True,-455494355.49376655,-456862577.8487754,0.0030038184634047
Pareto_E2_Q2_联合协调,1,1414,True,-435177716.3579821,-451559566.5659988,0.037644046540611
Pareto_E2_Q2_联合协调,2,1225,True,-451559566.5659988,-455469551.0989553,0.0086588455266068
Pareto_E2_Q2_联合协调,3,999,True,-455469551.0989553,-457003803.5463368,0.0033685071673388
Pareto_E3_Q2_联合协调,1,1412,True,-435195092.7261525,-451546562.86348295,0.0375727355630355
Pareto_E3_Q2_联合协调,2,1227,True,-451546562.86348295,-455560361.1764415,0.0088890020278418
Pareto_E3_Q2_联合协调,3,1005,True,-455560361.1764415,-456865587.52764297,0.0028651007911023
宽松碳约束,1,465,True,-434954361.9705459,-444470372.1825877,0.02187818089449623
宽松碳约束,2,439,True,-444470372.1825877,-449395514.14911133,0.011080922992321314
宽松碳约束,3,316,True,-449395514.14911133,-451773949.14310384,0.005292520550624217
严格碳约束,1,466,True,-434546196.16661406,-444444874.6295524,0.02277934670757769
严格碳约束,2,434,True,-444444874.6295524,-449299323.90582347,0.010922500299541667
严格碳约束,3,316,True,-449299323.90582347,-451823415.3690804,0.005617839442344729
平坦电价,1,466,True,-434475639.0959135,-444475861.37911826,0.023016761777516173
平坦电价,2,440,True,-444475861.37911826,-449462845.43971443,0.011219921021408385
平坦电价,3,315,True,-449462845.43971443,-452027018.3946681,0.005704972014861678
扩大峰谷价差,1,465,True,-434789186.1351144,-444431283.4451468,0.02217648832470287
扩大峰谷价差,2,434,True,-444431283.4451468,-449250119.6477598,0.01084270253268018
扩大峰谷价差,3,322,True,-449250119.6477598,-451744581.99525976,0.005552502355382301
低新能源波动,1,464,True,-458315927.6504218,-459313330.2739213,0.002176233823277197
低新能源波动,2,5,True,-459313330.2739213,-459341389.2,6.108885640646143e-05
高新能源波动,1,444,True,-339768671.1567018,-360819480.7551724,0.0619562996400039
高新能源波动,2,482,True,-360819480.7551724,-380774137.63149256,0.05530371263368693
高新能源波动,3,471,True,-380774137.63149256,-393262385.1948323,0.032796995197782335
